Time,time,t_in,t_out
2016-04-30 08:10:00,0.0,22.125,22.5
2016-04-30 08:15:00,300.0,22.125,18.5
2016-04-30 08:20:00,600.0,22.125,16.312
2016-04-30 08:25:00,900.0,22.125,15.375
2016-04-30 08:30:00,1200.0,22.125,15.0
2016-04-30 08:35:00,1500.0,22.125,14.937000000000001
2016-04-30 08:40:00,1800.0,22.25,15.0
2016-04-30 08:45:00,2100.0,22.375,15.062000000000001
2016-04-30 08:50:00,2400.0,22.436999999999998,15.312000000000001
2016-04-30 08:55:00,2700.0,22.625,15.875
2016-04-30 09:00:00,3000.0,22.811999999999998,16.25
2016-04-30 09:05:00,3300.0,23.0,16.375
2016-04-30 09:10:00,3600.0,23.25,16.875
2016-04-30 09:15:00,3900.0,23.5,17.062
2016-04-30 09:20:00,4200.0,23.811999999999998,17.312
2016-04-30 09:25:00,4500.0,24.061999999999998,17.625
2016-04-30 09:30:00,4800.0,24.375,18.125
2016-04-30 09:35:00,5100.0,24.75,18.312
2016-04-30 09:40:00,5400.0,25.061999999999998,18.687
2016-04-30 09:45:00,5700.0,25.436999999999998,19.25
2016-04-30 09:50:00,6000.0,25.811999999999998,19.625
2016-04-30 09:55:00,6300.0,26.25,20.125
2016-04-30 10:00:00,6600.0,26.686999999999998,20.187
2016-04-30 10:05:00,6900.0,27.061999999999998,20.625
2016-04-30 10:10:00,7200.0,27.5,21.186999999999998
2016-04-30 10:15:00,7500.0,27.936999999999998,21.436999999999998
2016-04-30 10:20:00,7800.0,28.375,21.875
2016-04-30 10:25:00,8100.0,28.75,22.25
2016-04-30 10:30:00,8400.0,29.186999999999998,22.436999999999998
2016-04-30 10:35:00,8700.0,29.625,23.125
2016-04-30 10:40:00,9000.0,30.0,23.5
2016-04-30 10:45:00,9300.0,30.436999999999998,23.625
2016-04-30 10:50:00,9600.0,30.875,24.125
2016-04-30 10:55:00,9900.0,31.25,24.561999999999998
2016-04-30 11:00:00,10200.0,31.686999999999998,24.875
2016-04-30 11:05:00,10500.0,32.062,25.625
2016-04-30 11:10:00,10800.0,32.437,26.186999999999998
2016-04-30 11:15:00,11100.0,32.875,26.811999999999998
2016-04-30 11:20:00,11400.0,33.312,27.375
2016-04-30 11:25:00,11700.0,33.687,27.625
2016-04-30 11:30:00,12000.0,34.062,27.875
2016-04-30 11:35:00,12300.0,34.5,28.311999999999998
2016-04-30 11:40:00,12600.0,34.875,28.125
2016-04-30 11:45:00,12900.0,35.25,27.936999999999998
2016-04-30 11:50:00,13200.0,35.625,28.125
2016-04-30 11:55:00,13500.0,35.937,28.686999999999998
2016-04-30 12:00:00,13800.0,36.312,29.125
2016-04-30 12:05:00,14100.0,36.625,29.186999999999998
2016-04-30 12:10:00,14400.0,36.937,29.5
2016-04-30 12:15:00,14700.0,37.25,30.0
2016-04-30 12:20:00,15000.0,37.562,30.436999999999998
2016-04-30 12:25:00,15300.0,37.875,30.75
2016-04-30 12:30:00,15600.0,38.187,31.125
2016-04-30 12:35:00,15900.0,38.5,31.561999999999998
2016-04-30 12:40:00,16200.0,38.875,32.0
2016-04-30 12:45:00,16500.0,39.187,32.375
2016-04-30 12:50:00,16800.0,39.5,32.687
2016-04-30 12:55:00,17100.0,39.75,32.562
2016-04-30 13:00:00,17400.0,40.0,32.75
2016-04-30 13:05:00,17700.0,40.25,32.5
2016-04-30 13:10:00,18000.0,40.437,32.812
2016-04-30 13:15:00,18300.0,40.625,32.937
2016-04-30 13:20:00,18600.0,40.812,33.25
2016-04-30 13:25:00,18900.0,41.062,33.75
2016-04-30 13:30:00,19200.0,41.25,33.0
2016-04-30 13:35:00,19500.0,41.375,32.125
2016-04-30 13:40:00,19800.0,41.5,32.562
2016-04-30 13:45:00,20100.0,41.625,33.375
2016-04-30 13:50:00,20400.0,41.75,34.125
2016-04-30 13:55:00,20700.0,41.937,34.437
2016-04-30 14:00:00,21000.0,42.062,34.312
2016-04-30 14:05:00,21300.0,42.25,34.937
2016-04-30 14:10:00,21600.0,42.437,35.0
2016-04-30 14:15:00,21900.0,42.5,34.437
2016-04-30 14:20:00,22200.0,42.562,34.437
2016-04-30 14:25:00,22500.0,42.625,34.937
2016-04-30 14:30:00,22800.0,42.75,35.0
2016-04-30 14:35:00,23100.0,42.75,34.875
2016-04-30 14:40:00,23400.0,42.812,35.437
2016-04-30 14:45:00,23700.0,42.875,35.875
2016-04-30 14:50:00,24000.0,42.937,35.562
2016-04-30 14:55:00,24300.0,42.875,35.625
2016-04-30 15:00:00,24600.0,42.937,36.125
2016-04-30 15:05:00,24900.0,42.937,36.437
2016-04-30 15:10:00,25200.0,43.0,35.937
2016-04-30 15:15:00,25500.0,42.937,36.25
2016-04-30 15:20:00,25800.0,42.937,36.687
2016-04-30 15:25:00,26100.0,42.937,35.937
2016-04-30 15:30:00,26400.0,42.875,36.0
2016-04-30 15:35:00,26700.0,42.75,36.125
2016-04-30 15:40:00,27000.0,42.687,36.312
2016-04-30 15:45:00,27300.0,42.625,36.312
2016-04-30 15:50:00,27600.0,42.5,35.687
2016-04-30 15:55:00,27900.0,42.375,36.062
2016-04-30 16:00:00,28200.0,42.312,36.625
2016-04-30 16:05:00,28500.0,42.187,36.625
